,sucursal,nombre,ip,channel,starttime,endtime,diff
156,2352,CUAJIMALPA,192.169.5.194,7,2023-04-18 19:00:04,2023-04-18 23:59:00,298.93333333333334
157,2352,CUAJIMALPA,192.169.5.194,8,2023-04-17 22:59:00,2023-04-18 08:10:15,551.25
158,2352,CUAJIMALPA,192.169.5.194,8,2023-04-18 19:00:04,2023-04-18 23:59:00,298.93333333333334
159,2352,CUAJIMALPA,192.169.5.194,9,2023-04-17 22:59:00,2023-04-18 08:10:15,551.25
160,2352,CUAJIMALPA,192.169.5.194,9,2023-04-18 19:00:08,2023-04-18 23:59:00,298.8666666666667
161,2352,CUAJIMALPA,192.169.5.194,10,2023-04-17 22:59:00,2023-04-18 08:11:13,552.2166666666667
162,2352,CUAJIMALPA,192.169.5.194,10,2023-04-18 19:00:08,2023-04-18 23:59:00,298.8666666666667
163,2352,CUAJIMALPA,192.169.5.194,11,2023-04-17 22:59:00,2023-04-18 08:10:43,551.7166666666667
164,2352,CUAJIMALPA,192.169.5.194,11,2023-04-18 19:00:08,2023-04-18 23:59:00,298.8666666666667
165,2352,CUAJIMALPA,192.169.5.194,12,2023-04-17 22:59:00,2023-04-18 08:11:13,552.2166666666667
166,2352,CUAJIMALPA,192.169.5.194,12,2023-04-18 19:00:12,2023-04-18 23:59:00,298.8
167,2351,COYOACAN 3,192.169.5.162,0,2023-04-18 19:00:16,2023-04-18 23:59:00,298.73333333333335
168,2302,METAPA DE DOMINGUEZ,192.169.33.226,0,2023-04-18 06:00:00,2023-04-18 23:59:00,1079.0
169,2301,,192.169.33.210,0,2023-04-18 06:00:00,2023-04-18 23:59:00,1079.0
170,2287,XOXOCOTLAN,192.169.32.18,0,2023-04-18 05:00:00,2023-04-18 23:59:00,1139.0
171,2277,CHINAMECA,192.169.26.34,0,2023-04-18 07:00:04,2023-04-18 23:59:00,1018.9333333333333
172,2257,TENOSIQUE TABASCO,192.169.31.2,0,2023-04-18 06:00:00,2023-04-18 23:59:00,1079.0
173,2224,LAS CHOPAS TANCOCHAPA,192.168.254.146,0,2023-04-18 07:00:04,2023-04-18 23:59:00,1018.9333333333333
174,2221,AGUA DULCE,192.169.25.194,1,2023-04-18 21:30:50,2023-04-18 23:59:00,148.16666666666666
