
sucursal:249, cameras:9,videos_lost:0 
sucursal:259, cameras:4,videos_lost:3 
sucursal:250, cameras:4,videos_lost:3 
sucursal:258, cameras:8,videos_lost:4 
sucursal:260, cameras:4,videos_lost:0 
sucursal:257, cameras:10,videos_lost:22 
sucursal:259, cameras:4,videos_lost:5 
sucursal:260, cameras:4,videos_lost:0 
sucursal:259, cameras:4,videos_lost:3 
sucursal:260, cameras:4,videos_lost:0 
sucursal:258, cameras:8,videos_lost:4 
sucursal:265, cameras:4,videos_lost:0 
sucursal:267, cameras:9,videos_lost:4 
sucursal:260, cameras:4,videos_lost:0 
sucursal:257, cameras:10,videos_lost:16 
sucursal:258, cameras:8,videos_lost:4 
sucursal:266, cameras:5,videos_lost:4 
sucursal:267, cameras:9,videos_lost:4 
sucursal:267, cameras:9,videos_lost:4 
sucursal:224, cameras:7,videos_lost:2 
sucursal:268, cameras:5,videos_lost:0 
sucursal:267, cameras:9,videos_lost:4 
sucursal:266, cameras:5,videos_lost:4 
sucursal:268, cameras:5,videos_lost:0 
sucursal:258, cameras:8,videos_lost:4 
sucursal:265, cameras:4,videos_lost:0 
sucursal:267, cameras:9,videos_lost:6 
sucursal:257, cameras:10,videos_lost:22 
sucursal:268, cameras:5,videos_lost:0 
sucursal:257, cameras:10,videos_lost:0 
sucursal:267, cameras:9,videos_lost:6 
sucursal:257, cameras:10,videos_lost:0 
sucursal:257, cameras:10,videos_lost:0 
sucursal:258, cameras:8,videos_lost:4 
sucursal:266, cameras:5,videos_lost:4 
sucursal:267, cameras:9,videos_lost:6 
sucursal:257, cameras:10,videos_lost:0 
sucursal:268, cameras:5,videos_lost:0 
sucursal:257, cameras:10,videos_lost:0 
sucursal:257, cameras:10,videos_lost:0 
sucursal:267, cameras:9,videos_lost:5 
sucursal:269, cameras:8,videos_lost:2 
sucursal:265, cameras:4,videos_lost:0 
sucursal:267, cameras:9,videos_lost:4 
sucursal:268, cameras:5,videos_lost:0 
sucursal:266, cameras:5,videos_lost:4 
sucursal:265, cameras:4,videos_lost:0 
sucursal:272, cameras:8,videos_lost:7 
sucursal:272, cameras:8,videos_lost:7 
sucursal:269, cameras:8,videos_lost:3 
sucursal:263, cameras:7,videos_lost:4 
sucursal:266, cameras:5,videos_lost:4 
sucursal:272, cameras:8,videos_lost:7 
sucursal:270, cameras:6,videos_lost:0 
sucursal:277, cameras:5,videos_lost:1 
sucursal:272, cameras:8,videos_lost:7 
sucursal:277, cameras:5,videos_lost:1 
sucursal:272, cameras:8,videos_lost:7 
sucursal:275, cameras:8,videos_lost:4 
sucursal:272, cameras:8,videos_lost:7 
sucursal:269, cameras:8,videos_lost:3 
sucursal:272, cameras:8,videos_lost:7 
sucursal:277, cameras:5,videos_lost:1 
sucursal:270, cameras:6,videos_lost:0 
sucursal:275, cameras:8,videos_lost:3 
sucursal:272, cameras:8,videos_lost:7 
sucursal:278, cameras:4,videos_lost:0 
sucursal:270, cameras:6,videos_lost:0 
sucursal:275, cameras:8,videos_lost:4 
sucursal:277, cameras:5,videos_lost:1 
sucursal:263, cameras:7,videos_lost:3 
sucursal:269, cameras:8,videos_lost:7 
sucursal:278, cameras:4,videos_lost:0 
sucursal:277, cameras:5,videos_lost:1 
sucursal:275, cameras:8,videos_lost:4 
sucursal:279, cameras:4,videos_lost:0 
sucursal:278, cameras:4,videos_lost:0 
sucursal:275, cameras:8,videos_lost:4 
sucursal:263, cameras:7,videos_lost:3 
sucursal:269, cameras:8,videos_lost:3 
sucursal:279, cameras:4,videos_lost:0 
sucursal:270, cameras:6,videos_lost:0 
sucursal:278, cameras:4,videos_lost:0 
sucursal:270, cameras:6,videos_lost:0 
sucursal:269, cameras:8,videos_lost:2 
sucursal:275, cameras:8,videos_lost:4 
sucursal:263, cameras:7,videos_lost:3 
sucursal:279, cameras:4,videos_lost:0 
sucursal:270, cameras:6,videos_lost:0 
sucursal:269, cameras:8,videos_lost:2 
sucursal:275, cameras:8,videos_lost:4 
sucursal:281, cameras:5,videos_lost:1 
sucursal:283, cameras:4,videos_lost:2 
sucursal:275, cameras:8,videos_lost:3 
sucursal:284, cameras:5,videos_lost:2 
sucursal:281, cameras:5,videos_lost:1 
sucursal:283, cameras:4,videos_lost:2 
sucursal:284, cameras:5,videos_lost:2 
sucursal:269, cameras:8,videos_lost:3 
sucursal:281, cameras:5,videos_lost:1 
sucursal:285, cameras:4,videos_lost:8 
sucursal:283, cameras:4,videos_lost:2 
sucursal:281, cameras:5,videos_lost:1 
sucursal:283, cameras:4,videos_lost:2 
sucursal:281, cameras:5,videos_lost:1 
sucursal:285, cameras:4,videos_lost:5 
sucursal:289, cameras:4,videos_lost:0 
sucursal:284, cameras:5,videos_lost:2 
sucursal:284, cameras:5,videos_lost:2 
sucursal:289, cameras:4,videos_lost:0 
sucursal:284, cameras:5,videos_lost:2 
sucursal:289, cameras:4,videos_lost:0 
sucursal:289, cameras:4,videos_lost:0 
sucursal:263, cameras:7,videos_lost:18 
sucursal:263, cameras:7,videos_lost:2 
sucursal:285, cameras:4,videos_lost:8 
sucursal:263, cameras:7,videos_lost:2 
sucursal:294, cameras:4,videos_lost:0 
sucursal:304, cameras:6,videos_lost:10 
sucursal:294, cameras:4,videos_lost:0 
sucursal:294, cameras:4,videos_lost:0 
sucursal:285, cameras:4,videos_lost:7 
sucursal:294, cameras:4,videos_lost:0 
sucursal:304, cameras:6,videos_lost:31 
sucursal:305, cameras:4,videos_lost:4 
sucursal:304, cameras:6,videos_lost:7 
sucursal:305, cameras:4,videos_lost:4 
sucursal:308, cameras:9,videos_lost:1 
sucursal:304, cameras:6,videos_lost:41 
sucursal:308, cameras:9,videos_lost:1 
sucursal:303, cameras:7,videos_lost:4 
sucursal:304, cameras:6,videos_lost:18 
sucursal:308, cameras:9,videos_lost:1 
sucursal:306, cameras:4,videos_lost:0 
sucursal:308, cameras:9,videos_lost:1 
sucursal:303, cameras:7,videos_lost:4 
sucursal:306, cameras:4,videos_lost:0 
sucursal:307, cameras:5,videos_lost:3 
sucursal:308, cameras:9,videos_lost:1 
sucursal:306, cameras:4,videos_lost:0 
sucursal:304, cameras:6,videos_lost:36 
sucursal:303, cameras:7,videos_lost:4 
sucursal:306, cameras:4,videos_lost:0 
sucursal:307, cameras:5,videos_lost:3 
sucursal:303, cameras:7,videos_lost:5 
sucursal:303, cameras:7,videos_lost:4 
sucursal:307, cameras:5,videos_lost:3 
sucursal:313, cameras:8,videos_lost:1 
sucursal:307, cameras:5,videos_lost:3 
sucursal:303, cameras:7,videos_lost:7 
sucursal:312, cameras:5,videos_lost:19 
sucursal:307, cameras:5,videos_lost:3 
sucursal:313, cameras:8,videos_lost:1 
sucursal:303, cameras:7,videos_lost:7 
sucursal:314, cameras:5,videos_lost:3 
sucursal:312, cameras:5,videos_lost:8 
sucursal:315, cameras:6,videos_lost:1 
sucursal:313, cameras:8,videos_lost:1 
sucursal:315, cameras:6,videos_lost:1 
sucursal:315, cameras:6,videos_lost:1 
sucursal:316, cameras:5,videos_lost:0 
sucursal:312, cameras:5,videos_lost:9 
sucursal:315, cameras:6,videos_lost:2 
sucursal:314, cameras:5,videos_lost:3 
sucursal:313, cameras:8,videos_lost:1 
sucursal:316, cameras:5,videos_lost:0 
sucursal:313, cameras:8,videos_lost:0 
sucursal:316, cameras:5,videos_lost:0 
sucursal:320, cameras:5,videos_lost:0 
sucursal:315, cameras:6,videos_lost:4 
sucursal:314, cameras:5,videos_lost:3 
sucursal:312, cameras:5,videos_lost:8 
sucursal:315, cameras:6,videos_lost:2 
sucursal:319, cameras:6,videos_lost:0 
sucursal:320, cameras:5,videos_lost:0 
sucursal:316, cameras:5,videos_lost:0 
sucursal:312, cameras:5,videos_lost:7 
sucursal:313, cameras:8,videos_lost:1 
sucursal:319, cameras:6,videos_lost:0 
sucursal:314, cameras:5,videos_lost:3 
sucursal:321, cameras:6,videos_lost:0 
sucursal:313, cameras:8,videos_lost:0 
sucursal:322, cameras:4,videos_lost:1 
sucursal:313, cameras:8,videos_lost:0 
sucursal:320, cameras:5,videos_lost:1 
sucursal:322, cameras:4,videos_lost:1 
sucursal:321, cameras:6,videos_lost:0 
sucursal:319, cameras:6,videos_lost:0 
sucursal:316, cameras:5,videos_lost:1 
sucursal:322, cameras:4,videos_lost:1 
sucursal:314, cameras:5,videos_lost:2 
sucursal:322, cameras:4,videos_lost:1 
sucursal:320, cameras:5,videos_lost:0 
sucursal:321, cameras:6,videos_lost:0 
sucursal:329, cameras:8,videos_lost:5 
sucursal:326, cameras:4,videos_lost:0 
sucursal:329, cameras:8,videos_lost:5 
sucursal:320, cameras:5,videos_lost:0 
sucursal:319, cameras:6,videos_lost:0 
sucursal:334, cameras:8,videos_lost:2 
sucursal:331, cameras:7,videos_lost:4 
sucursal:326, cameras:4,videos_lost:1 
sucursal:321, cameras:6,videos_lost:0 
sucursal:333, cameras:7,videos_lost:11 
sucursal:335, cameras:6,videos_lost:0 
sucursal:334, cameras:8,videos_lost:2 
sucursal:326, cameras:4,videos_lost:0 
sucursal:335, cameras:6,videos_lost:0 
sucursal:321, cameras:6,videos_lost:0 
sucursal:331, cameras:7,videos_lost:3 
sucursal:319, cameras:6,videos_lost:0 
sucursal:329, cameras:8,videos_lost:12 
sucursal:335, cameras:6,videos_lost:0 
sucursal:335, cameras:6,videos_lost:0 
sucursal:326, cameras:4,videos_lost:0 
sucursal:333, cameras:7,videos_lost:11 
sucursal:334, cameras:8,videos_lost:2 
sucursal:335, cameras:6,videos_lost:1 
sucursal:335, cameras:6,videos_lost:1 
sucursal:331, cameras:7,videos_lost:4 
sucursal:321, cameras:6,videos_lost:0 
sucursal:329, cameras:8,videos_lost:7 
sucursal:334, cameras:8,videos_lost:2 
sucursal:334, cameras:8,videos_lost:0 
sucursal:319, cameras:6,videos_lost:0 
sucursal:329, cameras:8,videos_lost:5 
sucursal:334, cameras:8,videos_lost:0 
sucursal:334, cameras:8,videos_lost:0 
sucursal:331, cameras:7,videos_lost:2 
sucursal:334, cameras:8,videos_lost:0 
sucursal:333, cameras:7,videos_lost:11 
sucursal:342, cameras:9,videos_lost:2 
sucursal:329, cameras:8,videos_lost:3 
sucursal:342, cameras:9,videos_lost:1 
sucursal:329, cameras:8,videos_lost:3 
sucursal:331, cameras:7,videos_lost:3 
sucursal:336, cameras:8,videos_lost:2 
sucursal:342, cameras:9,videos_lost:1 
sucursal:329, cameras:8,videos_lost:5 
sucursal:331, cameras:7,videos_lost:1 
sucursal:331, cameras:7,videos_lost:1 
sucursal:336, cameras:8,videos_lost:2 
sucursal:342, cameras:9,videos_lost:3 
sucursal:333, cameras:7,videos_lost:11 
sucursal:342, cameras:9,videos_lost:0 
sucursal:338, cameras:4,videos_lost:2 
sucursal:348, cameras:8,videos_lost:8 
sucursal:342, cameras:9,videos_lost:0 
sucursal:342, cameras:9,videos_lost:0 
sucursal:343, cameras:9,videos_lost:0 
sucursal:342, cameras:9,videos_lost:0 
sucursal:348, cameras:8,videos_lost:7 
sucursal:342, cameras:9,videos_lost:0 
sucursal:348, cameras:8,videos_lost:7 
sucursal:343, cameras:9,videos_lost:1 
sucursal:336, cameras:8,videos_lost:2 
sucursal:348, cameras:8,videos_lost:7 
sucursal:348, cameras:8,videos_lost:7 
sucursal:336, cameras:8,videos_lost:1 
sucursal:348, cameras:8,videos_lost:7 
sucursal:336, cameras:8,videos_lost:3 
sucursal:343, cameras:9,videos_lost:0 
sucursal:336, cameras:8,videos_lost:3 
sucursal:348, cameras:8,videos_lost:7 
sucursal:336, cameras:8,videos_lost:3 
sucursal:338, cameras:4,videos_lost:1 
sucursal:336, cameras:8,videos_lost:3 
sucursal:348, cameras:8,videos_lost:8 
sucursal:333, cameras:7,videos_lost:11 
sucursal:343, cameras:9,videos_lost:1 
sucursal:343, cameras:9,videos_lost:0 
sucursal:343, cameras:9,videos_lost:0 
sucursal:343, cameras:9,videos_lost:0 
sucursal:353, cameras:6,videos_lost:3 
sucursal:343, cameras:9,videos_lost:0 
sucursal:353, cameras:6,videos_lost:3 
sucursal:347, cameras:10,videos_lost:7 
sucursal:333, cameras:7,videos_lost:11 
sucursal:353, cameras:6,videos_lost:3 
sucursal:352, cameras:7,videos_lost:0 
sucursal:343, cameras:9,videos_lost:0 
sucursal:351, cameras:4,videos_lost:2 
sucursal:353, cameras:6,videos_lost:3 
sucursal:338, cameras:4,videos_lost:2 
sucursal:352, cameras:7,videos_lost:0 
sucursal:353, cameras:6,videos_lost:3 
sucursal:350, cameras:6,videos_lost:2 
sucursal:353, cameras:6,videos_lost:3 
sucursal:352, cameras:7,videos_lost:0 
sucursal:351, cameras:4,videos_lost:2 
sucursal:338, cameras:4,videos_lost:1 
sucursal:347, cameras:10,videos_lost:4 
sucursal:351, cameras:4,videos_lost:2 
sucursal:352, cameras:7,videos_lost:0 
sucursal:333, cameras:7,videos_lost:11 
sucursal:359, cameras:4,videos_lost:6 
sucursal:352, cameras:7,videos_lost:0 
sucursal:352, cameras:7,videos_lost:2 
sucursal:347, cameras:10,videos_lost:4 
sucursal:359, cameras:4,videos_lost:5 
sucursal:352, cameras:7,videos_lost:0 
sucursal:347, cameras:10,videos_lost:3 
sucursal:351, cameras:4,videos_lost:2 
sucursal:357, cameras:5,videos_lost:3 
sucursal:347, cameras:10,videos_lost:2 
sucursal:347, cameras:10,videos_lost:2 
sucursal:347, cameras:10,videos_lost:2 
sucursal:360, cameras:4,videos_lost:1 
